      AZ      EL   RANGE     LAT     LON     ALT  AP_LAT  AP_LON L_SHELL INV_LAT  ASPECT     CXR     CYR     CZR
 -120.00    6.00  600.00   39.80  -77.45   89.45   48.86  -72.71    2.39   49.71  109.68    0.28   -0.90    0.34
 -120.00    6.00  610.00   39.76  -77.55   91.40   48.83  -72.84    2.39   49.68  109.81    0.28   -0.90    0.34
 -120.00    6.00  620.00   39.71  -77.64   93.36   48.81  -72.98    2.39   49.65  109.95    0.28   -0.90    0.34
 -120.00    6.00  630.00   39.66  -77.73   95.34   48.78  -73.11    2.38   49.63  110.08    0.28   -0.90    0.34
 -120.00    6.00  640.00   39.61  -77.83   97.33   48.75  -73.25    2.38   49.60  110.22    0.28   -0.90    0.35
 -120.00    6.00  650.00   39.56  -77.92   99.34   48.72  -73.38    2.38   49.57  110.35    0.28   -0.89    0.35
 -120.00    6.00  660.00   39.51  -78.01  101.37   48.70  -73.51    2.37   49.54  110.49    0.28   -0.89    0.35
 -120.00    6.00  670.00   39.46  -78.10  103.40   48.67  -73.65    2.37   49.51  110.62    0.28   -0.89    0.35
 -120.00    6.00  680.00   39.41  -78.20  105.46   48.64  -73.78    2.37   49.48  110.76    0.28   -0.89    0.35
 -120.00    6.00  690.00   39.37  -78.29  107.52   48.61  -73.91    2.37   49.46  110.90    0.29   -0.89    0.36
 -120.00    6.00  700.00   39.32  -78.38  109.61   48.58  -74.04    2.36   49.43  111.03    0.29   -0.89    0.36
 -120.00    6.00  710.00   39.27  -78.47  111.70   48.56  -74.18    2.36   49.40  111.17    0.29   -0.89    0.36
 -120.00    6.00  720.00   39.22  -78.56  113.82   48.53  -74.31    2.36   49.37  111.30    0.29   -0.89    0.36
 -120.00    6.00  730.00   39.17  -78.65  115.94   48.50  -74.44    2.36   49.34  111.44    0.29   -0.88    0.37
 -120.00    6.00  740.00   39.12  -78.75  118.08   48.47  -74.57    2.35   49.31  111.57    0.29   -0.88    0.37
 -120.00    6.00  750.00   39.07  -78.84  120.24   48.44  -74.70    2.35   49.29  111.71    0.29   -0.88    0.37
 -120.00    6.00  760.00   39.02  -78.93  122.41   48.41  -74.84    2.35   49.26  111.84    0.29   -0.88    0.37
 -120.00    6.00  770.00   38.97  -79.02  124.60   48.39  -74.97    2.34   49.23  111.98    0.29   -0.88    0.37
 -120.00    6.00  780.00   38.92  -79.11  126.80   48.36  -75.10    2.34   49.20  112.11    0.29   -0.88    0.38
 -120.00    6.00  790.00   38.87  -79.20  129.01   48.33  -75.23    2.34   49.17  112.25    0.29   -0.88    0.38
 -120.00    6.00  800.00   38.82  -79.29  131.24   48.30  -75.36    2.34   49.14  112.38    0.29   -0.88    0.38
 -120.00    6.00  810.00   38.77  -79.38  133.48   48.27  -75.49    2.33   49.11  112.52    0.30   -0.88    0.38
 -120.00    6.00  820.00   38.72  -79.47  135.74   48.24  -75.62    2.33   49.08  112.65    0.30   -0.87    0.39
 -120.00    6.00  830.00   38.67  -79.56  138.02   48.21  -75.75    2.33   49.05  112.79    0.30   -0.87    0.39
 -120.00    6.00  840.00   38.63  -79.65  140.30   48.18  -75.88    2.33   49.02  112.92    0.30   -0.87    0.39
 -120.00    6.00  850.00   38.58  -79.74  142.61   48.15  -76.01    2.32   48.99  113.06    0.30   -0.87    0.39
 -120.00    6.00  860.00   38.53  -79.82  144.92   48.13  -76.13    2.32   48.96  113.19    0.30   -0.87    0.39
 -120.00    6.00  870.00   38.48  -79.91  147.25   48.10  -76.26    2.32   48.93  113.33    0.30   -0.87    0.40
 -120.00    6.00  880.00   38.43  -80.00  149.60   48.07  -76.39    2.31   48.90  113.46    0.30   -0.87    0.40
 -120.00    6.00  890.00   38.38  -80.09  151.96   48.04  -76.52    2.31   48.87  113.59    0.30   -0.87    0.40
 -120.00    6.00  900.00   38.33  -80.18  154.33   48.01  -76.65    2.31   48.84  113.73    0.30   -0.86    0.40
 -120.00    6.00  910.00   38.28  -80.27  156.72   47.98  -76.77    2.31   48.81  113.86    0.30   -0.86    0.40
 -120.00    6.00  920.00   38.23  -80.35  159.13   47.95  -76.90    2.30   48.78  114.00    0.30   -0.86    0.41
 -120.00    6.00  930.00   38.18  -80.44  161.54   47.92  -77.03    2.30   48.75  114.13    0.30   -0.86    0.41
 -120.00    6.00  940.00   38.13  -80.53  163.98   47.89  -77.15    2.30   48.73  114.27    0.30   -0.86    0.41
 -120.00    6.00  950.00   38.08  -80.62  166.42   47.86  -77.28    2.30   48.70  114.40    0.31   -0.86    0.41
 -120.00    6.00  960.00   38.03  -80.70  168.88   47.83  -77.41    2.29   48.67  114.54    0.31   -0.86    0.42
 -120.00    6.00  970.00   37.98  -80.79  171.36   47.80  -77.53    2.29   48.64  114.67    0.31   -0.86    0.42
 -120.00    6.00  980.00   37.93  -80.88  173.85   47.77  -77.66    2.29   48.60  114.80    0.31   -0.85    0.42
 -120.00    6.00  990.00   37.88  -80.96  176.35   47.74  -77.78    2.28   48.57  114.94    0.31   -0.85    0.42
 -120.00    6.00 1000.00   37.83  -81.05  178.87   47.71  -77.91    2.28   48.54  115.07    0.31   -0.85    0.42
 -120.00    6.00 1010.00   37.78  -81.14  181.40   47.68  -78.03    2.28   48.51  115.21    0.31   -0.85    0.43
 -120.00    6.00 1020.00   37.73  -81.22  183.95   47.65  -78.16    2.28   48.48  115.34    0.31   -0.85    0.43
 -120.00    6.00 1030.00   37.68  -81.31  186.51   47.62  -78.28    2.27   48.45  115.47    0.31   -0.85    0.43
 -120.00    6.00 1040.00   37.63  -81.39  189.09   47.59  -78.40    2.27   48.42  115.61    0.31   -0.85    0.43
 -120.00    6.00 1050.00   37.58  -81.48  191.68   47.56  -78.53    2.27   48.39  115.74    0.31   -0.85    0.43
 -120.00    6.00 1060.00   37.53  -81.57  194.28   47.53  -78.65    2.26   48.36  115.87    0.31   -0.84    0.44
 -120.00    6.00 1070.00   37.48  -81.65  196.90   47.50  -78.77    2.26   48.33  116.01    0.31   -0.84    0.44
 -120.00    6.00 1080.00   37.43  -81.74  199.53   47.47  -78.90    2.26   48.30  116.14    0.31   -0.84    0.44
 -120.00    6.00 1090.00   37.38  -81.82  202.18   47.44  -79.02    2.26   48.27  116.28    0.31   -0.84    0.44
 -120.00    6.00 1100.00   37.33  -81.90  204.84   47.41  -79.14    2.25   48.23  116.41    0.31   -0.84    0.44
